feature,15,60,1440
hora,0.0231,0.0343,0.0251
minuto,0.0049,0.0101,0.0044
dia_semana,0.0047,0.0066,0.0101
dia_mes,0.0114,0.0153,0.0228
mes,0.0014,0.0017,0.0021
es_finde,0.0005,0.001,0.0008
hora_sin,0.01,0.0228,0.0191
hora_cos,0.018,0.0448,0.0331
dia_semana_sin,0.005,0.008,0.0119
dia_semana_cos,0.003,0.0039,0.0064
mes_sin,0.0018,0.0029,0.0033
mes_cos,0.0053,0.0138,0.0103
dia_anyo,0.0164,0.0244,0.0323
dia_anyo_sin,0.0139,0.02,0.0263
lag_1,0.4672,0.3136,0.0351
lag_1h,0.0234,0.0254,0.0259
lag_1d,0.0566,0.0396,0.1538
lag_7d,0.0542,0.0424,0.1071
media_movil_1h,0.1664,0.1396,0.2863
media_movil_6h,0.0296,0.0426,0.0375
media_movil_1d,0.0387,0.1059,0.0538
std_movil_1d,0.0278,0.0449,0.0541
id_hogar,0.0083,0.018,0.0192
